,name,iso3,GDP_PCAP
0,Africa Eastern and Southern,AFE,1615.39635562849
1,Africa Western and Central,AFW,1411.33702938476
2,Arab World,ARB,7583.81170078145
3,Caribbean small states,CSS,19903.8112311908
4,Central Europe and the Baltics,CEB,24604.8068595604
5,Early-demographic dividend,EAR,4450.18711937385
6,East Asia & Pacific,EAS,13405.735673015
7,East Asia & Pacific (excluding high income),EAP,10396.7957405051
8,East Asia & Pacific (IDA & IBRD countries),TEA,10513.9529323033
9,Euro area,EMU,46945.4188234427
10,Europe & Central Asia,ECS,31555.5207890657
11,Europe & Central Asia (excluding high income),ECA,9793.69205809432
12,Europe & Central Asia (IDA & IBRD countries),TEC,13337.4386956337
13,European Union,EUU,43304.9642561331
14,Fragile and conflict affected situations,FCS,1527.95809514037
15,Heavily indebted poor countries (HIPC),HPC,1216.37508472564
16,High income,,50302.6052129513
17,IBRD only,IBD,8219.91265703844
18,IDA & IBRD total,IBT,6327.14399704869
19,IDA blend,IDB,1650.63788113049
20,IDA only,IDX,1398.11181264033
21,IDA total,IDA,1485.92227405633
22,Late-demographic dividend,LTE,12874.1679137972
23,Latin America & Caribbean,LCN,10737.6463538652
24,Latin America & Caribbean (excluding high income),LAC,10382.3911125152
25,Latin America & the Caribbean (IDA & IBRD countries),TLA,10474.2809944408
26,Least developed countries: UN classification,LDC,1293.40100322932
27,Low & middle income,LMY,6002.45120765259
28,Low income,,751.322764042233
29,Lower middle income,,2544.49245457752
30,"Middle East, North Africa, Afghanistan & Pakistan",MEA,6265.44445247452
31,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2971.05462651558
32,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2973.77496155262
33,Middle income,MIC,6554.37054933497
34,North America,NAC,81275.8436781762
35,OECD members,OED,48322.164420487
36,Other small states,OSS,16094.1266173126
37,Pacific island small states,PSS,4453.58561280276
38,Post-demographic dividend,PST,55644.314789934
39,Pre-demographic dividend,PRE,1366.06577255622
40,Small states,SST,15383.3425638674
41,South Asia,SAS,2690.07883749003
42,South Asia (IDA & IBRD),TSA,2690.07883749003
43,Sub-Saharan Africa,SSF,1532.92763550207
44,Sub-Saharan Africa (excluding high income),SSA,1576.69166875191
45,Sub-Saharan Africa (IDA & IBRD countries),TSS,1532.92763550207
46,Upper middle income,,10996.101696107
47,World,WLD,13631.2043097215
48,Afghanistan,AFG,413.757894705303
49,Albania,ALB,11377.7757431099
50,Algeria,DZA,5752.99076651465
51,American Samoa,ASM,18017.4589383973
52,Andorra,AND,49303.6491674336
53,Angola,AGO,2665.87444776753
54,Antigua and Barbuda,ATG,23542.4526945578
55,Argentina,ARG,13969.7836603737
56,Armenia,ARM,8556.21406956719
57,Aruba,ABW,39498.5941293797
58,Australia,AUS,64603.9856308464
59,Austria,AUT,58268.8787651601
60,Azerbaijan,AZE,7283.8499076179
61,"Bahamas, The",BHS,39455.4466548546
62,Bahrain,BHR,29653.5682731534
63,Bangladesh,BGD,2593.41611680774
64,Barbados,BRB,26544.8707282621
65,Belarus,BLR,8317.63399913792
66,Belgium,BEL,56614.5679499036
67,Belize,BLZ,7681.24400583113
68,Benin,BEN,1485.38018885134
69,Bermuda,BMU,142855.374713782
70,Bhutan,BTN,3831.32535494609
71,Bolivia,BOL,4421.16609889999
72,Bosnia and Herzegovina,BIH,9358.78768951134
73,Botswana,BWA,7695.75319445165
74,Brazil,BRA,10310.5488778166
75,Brunei Darussalam,BRN,33153.4738913513
76,Bulgaria,BGR,17596.0173663521
77,Burkina Faso,BFA,981.992649769081
78,Burundi,BDI,219.424830882698
79,Cabo Verde,CPV,5192.48157325878
80,Cambodia,KHM,2627.87969756224
81,Cameroon,CMR,1830.00833684727
82,Canada,CAN,54340.3477224733
83,Cayman Islands,CYM,99143.5180243123
84,Central African Republic,CAF,516.160999996036
85,Chad,TCD,961.55975562506
86,Channel Islands,CHI,74585.5224096294
87,Chile,CHL,16709.8893972307
88,China,CHN,13303.1481543868
89,Colombia,COL,7919.20886825345
90,Comoros,COM,1662.75663312504
91,"Congo, Dem. Rep.",COD,649.383338556725
92,"Congo, Rep.",COG,2482.2489948456
93,Costa Rica,CRI,18587.1532203482
94,Cote d'Ivoire,CIV,2727.8935220697
95,Croatia,HRV,24050.4397933135
96,Cuba,CUB,9605.27914559614
97,Curacao,CUW,22832.8953958667
98,Cyprus,CYP,38674.29296875
99,Czechia,CZE,31823.3078290564
100,Denmark,DNK,71026.4832271897
101,Djibouti,DJI,3552.72335079222
102,Dominica,DMA,10405.2787777582
103,Dominican Republic,DOM,10875.6618443092
104,Ecuador,ECU,6874.705739766
105,"Egypt, Arab Rep.",EGY,3338.47371395895
106,El Salvador,SLV,5579.65969165029
107,Equatorial Guinea,GNQ,6745.40013244916
108,Eritrea,ERI,688.68165957684
109,Estonia,EST,31428.3547816104
110,Eswatini,SWZ,3909.55892378182
111,Ethiopia,ETH,1133.88279681719
112,Faroe Islands,FRO,74119.6607553879
113,Fiji,FJI,6425.74151715712
114,Finland,FIN,53149.7671934051
115,France,FRA,46103.0840855884
116,French Polynesia,PYF,22439.8838746025
117,Gabon,GAB,8230.04311451151
118,"Gambia, The",GMB,871.340291776294
119,Georgia,GEO,9241.49122313713
120,Germany,DEU,56103.7323182554
121,Ghana,GHA,2390.77237652715
122,Greece,GRC,24626.1481858973
123,Greenland,GRL,58498.9707973609
124,Grenada,GRD,11705.0902976658
125,Guam,GUM,41833.1517132825
126,Guatemala,GTM,6150.02571438505
127,Guinea,GIN,1694.95375862193
128,Guinea-Bissau,GNB,1007.74151728028
129,Guyana,GUY,29675.2443873316
130,Haiti,HTI,2142.62330526788
131,Honduras,HND,3426.43483328923
132,"Hong Kong SAR, China",HKG,54074.6928519479
133,Hungary,HUN,23292.3263882478
134,Iceland,ISL,86040.5309851288
135,India,IND,2694.73780859961
136,Indonesia,IDN,4925.43048751861
137,"Iran, Islamic Rep.",IRN,5190.16959024821
138,Iraq,IRQ,6073.61032342708
139,Ireland,IRL,112894.953240805
140,Isle of Man,IMN,88328.548125887
141,Israel,ISR,54176.6844383302
142,Italy,ITA,40385.3413957669
143,Jamaica,JAM,7753.8006955432
